Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildVerificationTest,Chrome 62.0.3202.94,,2017-11-17 12:02:55,2017-11-17 12:03:11,16.077s,PASSED
,,,,,,
Test Cases/UserLogin,Chrome 62.0.3202.94,,2017-11-17 12:02:55,2017-11-17 12:03:11,15.779s,PASSED
openBrowser,Chrome 62.0.3202.94,,2017-11-17 12:02:55,2017-11-17 12:03:03,7.406s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-17 12:03:03,2017-11-17 12:03:07,4.249s,PASSED
click,Chrome 62.0.3202.94,,2017-11-17 12:03:07,2017-11-17 12:03:08,1.066s,PASSED
click,Chrome 62.0.3202.94,,2017-11-17 12:03:08,2017-11-17 12:03:10,1.882s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-11-17 12:03:10,2017-11-17 12:03:11,0.704s,PASSED
